"Date","Main Pollutant","Overall AQI Value","CO","SO2","NO2","Ozone","PM10","PM25"
"01/01/2011","PM2.5","99","7","7","40","35","35","99"
"01/02/2011","PM2.5","64","15","1","41","33","17","64"
"01/03/2011","PM2.5","44","9","0","37","36","15","44"
"01/04/2011","NO2","52","13","1","52","36","20","51"
"01/05/2011","PM2.5","58","13","6","51","38","23","58"
"01/06/2011","NO2","60","16","9","60","37","31","55"
"01/07/2011","PM2.5","81","28","3","47","25","32","81"
"01/08/2011","PM2.5","93","16","6","32","41","30","93"
"01/09/2011","NO2","101","15","4","101","42","33","87"
"01/10/2011","PM2.5","83","39","3","56","38","42","83"
"01/11/2011","NO2","48","13","1","48","31","24","41"
"01/12/2011","PM2.5","48","16","4","45","35","27","48"
"01/13/2011","NO2","52","17","6","52","41","29","45"
"01/14/2011","NO2","68","30","16","68","44","36","57"
"01/15/2011","PM2.5","83","35","7","62","43","33","83"
"01/16/2011","PM2.5","74","43","26","70","36","37","74"
"01/17/2011","NO2","97","42","17","97","31","48","88"
"01/18/2011","PM2.5","93","26","4","80","38","46","93"
"01/19/2011","PM2.5","118","20","4","73","40","58","118"
"01/20/2011","PM2.5","80","22","7","66","43","42","80"
"01/21/2011","NO2","63","24","4","63","41","32","57"
"01/22/2011","PM2.5","82","30","4","48","34","39","82"
"01/23/2011","PM2.5","71","19","6","54","45","49","71"
"01/24/2011","PM2.5","64","32","11","55","42","31","64"
"01/25/2011","NO2","88","33","13","88","34","49","84"
"01/26/2011","NO2","69","34","4","69","42","44","67"
"01/27/2011","NO2","71","32","9","71","39","38","55"
"01/28/2011","PM2.5","60","27","9","53","31","35","60"
"01/29/2011","PM2.5","75","32","9","51","44","33","75"
"01/30/2011","PM2.5","55","6","0","27","39","17","55"
"01/31/2011","PM2.5","50","20","13","44","39","28","50"
"02/01/2011","PM2.5","66","13","10","45","43","28","66"
"02/02/2011","PM2.5","60","25","17","53","43","43","60"
"02/03/2011","NO2","56","25","13","56","40","35","53"
"02/04/2011","PM2.5","69","17","11","47","36","43","69"
"02/05/2011","PM2.5","98","26","14","60","36","53","98"
"02/06/2011","PM2.5","86","18","17","61","40","42","86"
"02/07/2011","PM2.5","70","26","10","58","38","36","70"
"02/08/2011","PM2.5","75","15","3","44","42","39","75"
"02/09/2011","PM2.5","57","16","3","47","41","52","57"
"02/10/2011","NO2","63","22","20","63","39","29","51"
"02/11/2011","NO2","63","17","19","63","42","38","56"
"02/12/2011","PM2.5","52","19","4","49","44","34","52"
"02/13/2011","PM2.5","62","26","9","44","48","36","62"
"02/14/2011","PM2.5","77","15","4","42","48","28","77"
"02/15/2011","PM2.5","65","8","1","41","30","20","65"
"02/16/2011","Ozone","44","8","0","33","44","12","41"
"02/17/2011","PM2.5","54","11","1","45","43","21","54"
"02/18/2011","PM2.5","55","9","1","41","45","22","55"
"02/19/2011","Ozone","45","6","0","35","45","13","41"
"02/20/2011","PM2.5","59","10","1","41","44","16","59"
"02/21/2011","PM2.5","67","24","1","43","43","22","67"
"02/22/2011","PM2.5","67","15","1","41","48","22","67"
"02/23/2011","PM2.5","65","16","3","43","45","22","65"
"02/24/2011","PM2.5","62","17","1","40","43","22","62"
"02/25/2011","PM2.5","54","8","7","43","43","12","54"
"02/26/2011","Ozone","43","6","0","33","43","12","29"
"02/27/2011","PM2.5","53","10","1","41","50","12","53"
"02/28/2011","PM2.5","62","18","6","49","44","23","62"
"03/01/2011","PM2.5","62","22","13","47","40","26","62"
"03/02/2011","PM2.5","62","14","14","47","44","22","62"
"03/03/2011","PM2.5","64","13","6","37","40","22","64"
"03/04/2011","PM2.5","80","15","9","52","44","31","80"
"03/05/2011","PM2.5","53","19","4","47","51","19","53"
"03/06/2011","PM2.5","53","15","1","38","49","17","53"
"03/07/2011","Ozone","77","5","4","31","77","27","50"
"03/08/2011","NO2","48","11","3","48","46","25","45"
"03/09/2011","NO2","51","14","9","51","46","25","45"
"03/10/2011","PM2.5","137","19","9","64","54","30","137"
