"Date","Main Pollutant","Overall AQI Value","CO","SO2","NO2","Ozone","PM10","PM25"
"01/01/2009","PM2.5","160","34","16","78","31","63","160"
"01/02/2009","PM2.5","153","28","9","57","40","58","153"
"01/03/2009","PM2.5","101","10","9","37","32","30","101"
"01/04/2009","PM2.5","72","28","7","41","40","27","72"
"01/05/2009","PM2.5","59","25","9","49","34","35","59"
"01/06/2009","PM2.5","85","20","6","48","28","43","85"
"01/07/2009","PM2.5","106","34","7","66","25","55","106"
"01/08/2009","PM2.5","103","28","4","82","30","51","103"
"01/09/2009","PM2.5","127","35","11","63","40","57","127"
"01/10/2009","PM2.5","81","49","31","54","38","54","81"
"01/11/2009","PM2.5","64","39","11","49","40","33","64"
"01/12/2009","NO2","76","42","14","76","39","52","53"
"01/13/2009","NO2","78","19","9","78","35","65","62"
"01/14/2009","NO2","69","40","14","69","33","45","53"
"01/15/2009","NO2","67","52","9","67","35","44","63"
"01/16/2009","PM2.5","73","22","14","68","36","48","73"
"01/17/2009","PM2.5","55","28","11","52","35","37","55"
"01/18/2009","PM2.5","43","27","1","42","39","30","43"
"01/19/2009","NO2","60","20","11","60","34","44","50"
"01/20/2009","NO2","61","20","11","61","33","40","54"
"01/21/2009","PM2.5","66","19","17","65","26","38","66"
"01/22/2009","PM2.5","76","20","19","57","22","45","76"
"01/23/2009","PM2.5","57","18","10","46","22","29","57"
"01/24/2009","PM2.5","36","8","3","26","28","12","36"
"01/25/2009","PM2.5","46","11","4","29","35","23","46"
"01/26/2009","Ozone","36","8","4","35","36","21","28"
"01/27/2009","PM2.5","49","17","4","46","38","31","49"
"01/28/2009","PM2.5","56","17","9","51","39","37","56"
"01/29/2009","NO2","68","42","20","68","41","40","55"
"01/30/2009","NO2","62","31","10","62","39","61","53"
"01/31/2009","PM2.5","54","32","7","47","36","37","54"
"02/01/2009","PM2.5","80","18","7","52","40","44","80"
"02/02/2009","PM2.5","58","18","6","51","37","37","58"
"02/03/2009","PM2.5","59","26","24","56","34","38","59"
"02/04/2009","NO2","67","39","13","67","34","39","46"
"02/05/2009","PM2.5","44","11","7","42","33","28","44"
"02/06/2009","Ozone","36","7","4","32","36","15","28"
"02/07/2009","Ozone","34","6","11","31","34","14","25"
"02/08/2009","PM2.5","39","8","7","30","36","19","39"
"02/09/2009","NO2","46","6","1","46","29","12","21"
"02/10/2009","NO2","40","15","1","40","31","28","33"
"02/11/2009","PM2.5","61","19","7","40","35","33","61"
"02/12/2009","Ozone","40","17","9","38","40","23","38"
"02/13/2009","PM2.5","49","14","7","35","35","19","49"
"02/14/2009","PM2.5","58","13","6","37","40","27","58"
"02/15/2009","PM2.5","74","18","10","38","35","28","74"
"02/16/2009","Ozone","40","8","7","35","40","21","36"
"02/17/2009","Ozone","40","8","9","36","40","17","34"
"02/18/2009","PM2.5","48","13","4","45","39","27","48"
"02/19/2009","PM2.5","53","15","4","50","41","31","53"
"02/20/2009","NO2","52","16","11","52","39","32","43"
"02/21/2009","PM2.5","72","26","11","61","36","38","72"
"02/22/2009","PM2.5","81","20","10","52","22","37","81"
"02/23/2009","PM2.5","75","24","10","57","30","41","75"
"02/24/2009","PM2.5","62","15","11","50","37","32","62"
"02/25/2009","PM2.5","58","7","4","35","42","23","58"
"02/26/2009","PM2.5","63","18","10","52","43","41","63"
