"Date","Main Pollutant","Overall AQI Value","CO","SO2","NO2","Ozone","PM10","PM25"
"01/01/2013","PM2.5","142","14","1","38","43","55","142"
"01/02/2013","PM2.5","66","20","9","54","43","41","66"
"01/03/2013","PM2.5","75","26","6","56","44","46","75"
"01/04/2013","PM2.5","65","19","6","49","39","39","65"
"01/05/2013","PM2.5","89","30","6","52","31","46","89"
"01/06/2013","PM2.5","71","23","6","38","39","30","71"
"01/07/2013","PM2.5","58","19","1","45","40","25","58"
"01/08/2013","PM2.5","73","24","16","52","38","41","73"
"01/09/2013","PM2.5","84","30","7","71","32","44","84"
"01/10/2013","PM2.5","51","14","1","36","39","19","51"
"01/11/2013","Ozone","38","15","3","35","38","12","23"
"01/12/2013","PM2.5","59","19","1","39","39","24","59"
"01/13/2013","PM2.5","77","24","6","40","38","31","77"
"01/14/2013","PM2.5","54","20","3","50","41","30","54"
"01/15/2013","PM2.5","61","26","4","54","39","32","61"
"01/16/2013","PM2.5","76","27","9","57","39","39","76"
"01/17/2013","NO2","69","26","6","69","44","48","64"
"01/18/2013","NO2","58","19","6","58","42","33","55"
"01/19/2013","PM2.5","59","22","4","53","42","30","59"
"01/20/2013","NO2","48","19","9","48","41","19","47"
"01/21/2013","NO2","76","26","10","76","40","33","58"
"01/22/2013","NO2","76","28","16","76","31","50","63"
"01/23/2013","NO2","76","38","7","76","29","39","51"
"01/24/2013","PM2.5","54","19","1","42","19","15","54"
"01/25/2013","PM2.5","57","19","1","35","18","16","57"
"01/26/2013","PM2.5","59","16","4","27","30","17","59"
"01/27/2013","PM2.5","55","14","1","32","39","16","55"
"01/28/2013","Ozone","39","11","3","31","39","11","23"
"01/29/2013","PM2.5","54","17","3","38","37","25","54"
"01/30/2013","PM2.5","73","22","9","53","33","46","73"
"01/31/2013","PM2.5","71","26","11","60","35","51","71"
"02/01/2013","PM2.5","67","23","7","58","29","42","67"
"02/02/2013","PM2.5","76","26","11","58","31","42","76"
"02/03/2013","PM2.5","52","16","6","33","39","25","52"
"02/04/2013","PM2.5","88","18","9","43","39","43","88"
"02/05/2013","PM2.5","149","15","1","43","40","47","149"
"02/06/2013","PM2.5","108","15","3","40","43","48","108"
"02/07/2013","PM2.5","94","19","1","35","43","42","94"
"02/08/2013","Ozone","44","14","3","41","44","14","30"
"02/09/2013","PM2.5","62","16","3","42","40","26","62"
"02/10/2013","PM2.5","59","18","6","37","43","27","59"
"02/11/2013","PM2.5","60","18","4","45","45","32","60"
"02/12/2013","PM2.5","57","18","4","46","40","30","57"
"02/13/2013","PM2.5","74","22","6","51","38","40","74"
"02/14/2013","PM2.5","86","25","14","67","44","49","86"
"02/15/2013","NO2","76","26","13","76","43","37","56"
"02/16/2013","Ozone","49","22","9","49","49","19","40"
"02/17/2013","PM2.5","59","17","4","45","51","30","59"
"02/18/2013","PM2.5","73","14","1","39","48","30","73"
"02/19/2013","PM10","52","14","0","33","45","52","39"
"02/20/2013","Ozone","44","13","0","37","44","13","19"
"02/21/2013","PM2.5","50","9","1","43","43","29","50"
"02/22/2013","PM2.5","58","17","10","43","41","31","58"
"02/23/2013","PM2.5","64","18","6","40","48","47","64"
"02/24/2013","PM2.5","56","10","7","38","45","30","56"
"02/25/2013","PM2.5","52","16","9","49","45","31","52"
"02/26/2013","PM2.5","65","14","10","52","48","41","65"
"02/27/2013","NO2","63","16","6","63","49","36","49"
"02/28/2013","NO2","62","22","9","62","44","34","47"
"03/01/2013","NO2","64","15","14","64","50","36","56"
"03/02/2013","Ozone","61","22","21","56","61","28","57"
"03/03/2013","PM2.5","74","13","7","47","47","26","74"
"03/04/2013","PM2.5","71","8","6","32","42","33","71"
"03/05/2013","PM2.5","103","9","1","31","45","43","103"
"03/06/2013","PM2.5","43","7","3","34","42","19","43"
"03/07/2013","Ozone","43","5","1","31","43","12","42"
"03/08/2013","Ozone","44","6","1","35","44","11","35"
"03/09/2013","PM2.5","59","7","1","37","44","24","59"
"03/10/2013","PM2.5","62","11","7","43","54","30","62"
"03/11/2013","PM2.5","74","24","7","55","50","35","74"
"03/12/2013","PM2.5","88","22","6","71","67","40","88"
"03/13/2013","NO2","78","15","4","78","64","31","64"
"03/14/2013","Ozone","97","16","4","89","97","30","83"
"03/15/2013","PM2.5","132","14","1","55","84","36","132"
"03/16/2013","PM2.5","122","9","1","34","58","49","122"
"03/17/2013","PM2.5","97","7","1","23","80","43","97"
"03/18/2013","PM2.5","92","6","0","32","58","42","92"
"03/19/2013","PM2.5","108","9","3","40","49","48","108"
"03/20/2013","PM2.5","92","14","3","48","54","52","92"
