ReportingArea,State,IssueDate,ForecastDate,ForecastPeriod,Parameter,AQI,AQI Category,LevelOfHealthConcern,ActionDayName,ActionDay,TimeZone,Latitude,Longitude,Acquired
Central LA CO,CA,1/6/2010 0:00,1/7/2010 0:00,Next Day,PM2.5,56,2,Moderate,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/7/2010 0:00,1/8/2010 0:00,Next Day,CO,15,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/7/2010 0:00,1/8/2010 0:00,Next Day,NO2,50,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/7/2010 0:00,1/8/2010 0:00,Next Day,OZONE,16,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/7/2010 0:00,1/8/2010 0:00,Next Day,PM10,44,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/7/2010 0:00,1/8/2010 0:00,Next Day,PM2.5,66,2,Moderate,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/8/2010 0:00,1/9/2010 0:00,Next Day,CO,15,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/8/2010 0:00,1/9/2010 0:00,Next Day,NO2,50,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/8/2010 0:00,1/9/2010 0:00,Next Day,OZONE,24,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/8/2010 0:00,1/9/2010 0:00,Next Day,PM10,50,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/8/2010 0:00,1/9/2010 0:00,Next Day,PM2.5,62,2,Moderate,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/9/2010 0:00,1/10/2010 0:00,Next Day,CO,15,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/9/2010 0:00,1/10/2010 0:00,Next Day,NO2,50,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/9/2010 0:00,1/10/2010 0:00,Next Day,OZONE,27,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/9/2010 0:00,1/10/2010 0:00,Next Day,PM10,49,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/9/2010 0:00,1/10/2010 0:00,Next Day,PM2.5,76,2,Moderate,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/10/2010 0:00,1/11/2010 0:00,Next Day,CO,15,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/10/2010 0:00,1/11/2010 0:00,Next Day,NO2,20,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/10/2010 0:00,1/11/2010 0:00,Next Day,OZONE,24,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/10/2010 0:00,1/11/2010 0:00,Next Day,PM10,30,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/10/2010 0:00,1/11/2010 0:00,Next Day,PM2.5,36,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/11/2010 0:00,1/12/2010 0:00,Next Day,CO,15,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/11/2010 0:00,1/12/2010 0:00,Next Day,NO2,30,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/11/2010 0:00,1/12/2010 0:00,Next Day,OZONE,24,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/11/2010 0:00,1/12/2010 0:00,Next Day,PM10,30,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/11/2010 0:00,1/12/2010 0:00,Next Day,PM2.5,49,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/12/2010 0:00,1/13/2010 0:00,Next Day,CO,15,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/12/2010 0:00,1/13/2010 0:00,Next Day,NO2,30,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/12/2010 0:00,1/13/2010 0:00,Next Day,OZONE,12,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/12/2010 0:00,1/13/2010 0:00,Next Day,PM10,28,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/12/2010 0:00,1/13/2010 0:00,Next Day,PM2.5,42,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/13/2010 0:00,1/14/2010 0:00,Next Day,CO,15,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/13/2010 0:00,1/14/2010 0:00,Next Day,NO2,30,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/13/2010 0:00,1/14/2010 0:00,Next Day,OZONE,24,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/13/2010 0:00,1/14/2010 0:00,Next Day,PM10,51,2,Moderate,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/13/2010 0:00,1/14/2010 0:00,Next Day,PM2.5,56,2,Moderate,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/14/2010 0:00,1/15/2010 0:00,Next Day,CO,15,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/14/2010 0:00,1/15/2010 0:00,Next Day,NO2,20,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/14/2010 0:00,1/15/2010 0:00,Next Day,OZONE,24,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/14/2010 0:00,1/15/2010 0:00,Next Day,PM10,34,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/14/2010 0:00,1/15/2010 0:00,Next Day,PM2.5,56,2,Moderate,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/15/2010 0:00,1/16/2010 0:00,Next Day,CO,15,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/15/2010 0:00,1/16/2010 0:00,Next Day,NO2,40,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/15/2010 0:00,1/16/2010 0:00,Next Day,OZONE,24,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/15/2010 0:00,1/16/2010 0:00,Next Day,PM10,38,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
