"Date","Main Pollutant","Overall AQI Value","CO","SO2","NO2","Ozone","PM10","PM25"
"01/01/2017","PM2.5","145","27","1","30","34","28","145"
"01/02/2017","PM2.5","59","10","1","36","36","10","59"
"01/03/2017","PM2.5","66","17","3","55","32","9","66"
"01/04/2017","PM2.5","72","20","4","48","31","14","72"
"01/05/2017","PM2.5","43","8","1","36","29","10","43"
"01/06/2017","PM2.5","49","10","6","42","37","31","49"
"01/07/2017","PM2.5","70","27","1","43","31","26","70"
"01/08/2017","PM2.5","82","39","3","43","32","14","82"
"01/09/2017","PM2.5","55","15","1","40","31","9","55"
"01/10/2017","PM2.5","56","14","1","42","33","13","56"
"01/11/2017","PM2.5","53","6","1","40","39","13","53"
"01/12/2017","PM2.5","48","9","3","38","32","3","48"
"01/13/2017","PM2.5","60","20","4","56","35","21","60"
"01/14/2017","PM2.5","72","20","14","40","38","8","72"
"01/15/2017","PM2.5","67","17","1","30","36","8","67"
"01/16/2017","PM2.5","72","13","1","48","40","17","72"
"01/17/2017","PM2.5","67","23","4","58","36","16","67"
"01/18/2017","PM2.5","69","18","3","47","37","11","69"
"01/19/2017","PM2.5","53","7","0","49","41","26","53"
"01/20/2017","Ozone","41","8","1","38","41","3","38"
"01/21/2017","PM2.5","44","8","1","39","41","5","44"
"01/22/2017","PM2.5","51","8","1","28","40","3","51"
"01/23/2017","NO2","55","10","1","55","43","3","47"
"01/24/2017","PM2.5","62","14","1","54","34","6","62"
"01/25/2017","PM2.5","64","18","3","61","39","24","64"
"01/26/2017","PM2.5","69","22","1","62","40","10","69"
"01/27/2017","PM2.5","65","22","1","60","44","8","65"
"01/28/2017","PM2.5","75","32","4","51","46","12","75"
"01/29/2017","PM2.5","66","40","3","52","45","11","66"
"01/30/2017","NO2","77","30","7","77","43","20","57"
"01/31/2017","PM2.5","75","30","9","73","40","41","75"
"02/01/2017","PM2.5","71","23","6","54","46","26","71"
"02/02/2017","PM2.5","74","14","7","46","39","23","74"
"02/03/2017","PM2.5","64","10","0","42","31","17","64"
"02/04/2017","PM2.5","53","10","1","30","39","12","53"
"02/05/2017","PM2.5","66","7","1","20","32","21","66"
"02/06/2017","PM2.5","45","8","0","29","32","6","45"
"02/07/2017","PM2.5","41","9","0","31","24","10","41"
"02/08/2017","PM2.5","49","9","9","34","27","10","49"
"02/09/2017","PM2.5","52","14","3","40","31","22","52"
"02/10/2017","PM2.5","57","10","1","33","32","24","57"
"02/11/2017","PM2.5","49","10","0","30","38","13","49"
"02/12/2017","PM2.5","55","18","4","36","41","24","55"
"02/13/2017","PM2.5","58","22","7","45","39","11","58"
"02/14/2017","PM2.5","59","11","3","43","39","22","59"
"02/15/2017","PM2.5","70","13","3","54","44","17","70"
"02/16/2017","PM2.5","61","15","1","56","43","35","61"
"02/17/2017","Ozone","49","6","3","30","49","13","35"
"02/18/2017","Ozone","46","7","0","25","46","11","27"
"02/19/2017","PM2.5","46","9","1","25","39","13","46"
"02/20/2017","PM2.5","51","6","0","35","35","14","51"
"02/21/2017","PM2.5","56","11","1","48","33","19","56"
"02/22/2017","NO2","48","8","6","48","42","13","36"
"02/23/2017","NO2","50","7","3","50","45","8","32"
"02/24/2017","NO2","63","11","3","63","46","30","52"
"02/25/2017","PM2.5","60","18","3","38","44","19","60"
"02/26/2017","PM2.5","44","7","1","34","43","8","44"
"02/27/2017","NO2","48","7","1","48","41","11","36"
"02/28/2017","NO2","57","11","3","57","48","15","53"
"03/01/2017","NO2","60","18","6","60","46","14","58"
"03/02/2017","NO2","66","16","3","66","45","43","54"
"03/03/2017","NO2","56","18","9","56","49","19","47"
"03/04/2017","PM2.5","61","17","3","42","50","17","61"
"03/05/2017","Ozone","45","6","1","22","45","16","43"
"03/06/2017","NO2","48","8","3","48","44","13","35"
