"Date","Main Pollutant","Overall AQI Value","CO","SO2","NO2","Ozone","PM10","PM25"
"01/01/2012","PM2.5","121","32","4","78","36","40","121"
"01/02/2012","PM2.5","59","19","7","48","35","22","59"
"01/03/2012","PM2.5","77","36","11","77","29","38","77"
"01/04/2012","NO2","76","40","9","76","31","50","75"
"01/05/2012","PM2.5","63","27","4","58","29","31","63"
"01/06/2012","PM2.5","84","38","4","64","37","42","84"
"01/07/2012","PM2.5","114","28","1","45","47","40","114"
"01/08/2012","PM2.5","84","18","4","46","44","54","84"
"01/09/2012","PM2.5","63","36","6","52","33","34","63"
"01/10/2012","PM2.5","71","24","6","56","26","36","71"
"01/11/2012","PM2.5","89","24","9","69","31","51","89"
"01/12/2012","PM2.5","94","30","31","67","36","49","94"
"01/13/2012","NO2","72","27","6","72","37","34","63"
"01/14/2012","PM2.5","77","27","3","60","29","45","77"
"01/15/2012","PM2.5","82","44","3","46","43","35","82"
"01/16/2012","PM2.5","65","9","1","43","37","23","65"
"01/17/2012","PM2.5","63","18","3","51","39","31","63"
"01/18/2012","PM2.5","80","24","6","50","42","43","80"
"01/19/2012","PM2.5","91","30","6","60","43","44","91"
"01/20/2012","PM2.5","93","20","1","46","38","44","93"
"01/21/2012","PM2.5","56","9","1","40","38","24","56"
"01/22/2012","PM2.5","72","13","1","34","40","29","72"
"01/23/2012","PM2.5","67","15","1","34","35","19","67"
"01/24/2012","PM2.5","67","20","3","47","35","25","67"
"01/25/2012","PM2.5","59","33","10","52","33","25","59"
"01/26/2012","PM2.5","57","45","6","54","28","25","57"
"01/27/2012","PM2.5","60","26","4","53","42","25","60"
"01/28/2012","PM2.5","67","24","6","48","40","26","67"
"01/29/2012","PM2.5","44","28","4","44","40","16","44"
"01/30/2012","PM2.5","60","28","3","51","31","25","60"
"01/31/2012","PM2.5","81","17","1","45","36","28","81"
"02/01/2012","PM2.5","94","19","6","49","40","43","94"
"02/02/2012","PM2.5","104","13","7","48","43","38","104"
"02/03/2012","PM2.5","66","22","6","51","38","33","66"
"02/04/2012","NO2","46","20","1","46","44","17","44"
"02/05/2012","PM2.5","51","26","4","46","46","17","51"
"02/06/2012","PM2.5","56","17","4","56","42","25","56"
"02/07/2012","PM2.5","59","18","1","50","37","20","59"
"02/08/2012","PM2.5","54","15","1","45","44","22","54"
"02/09/2012","PM2.5","53","18","6","53","40","31","53"
"02/10/2012","PM2.5","62","20","3","43","38","27","62"
"02/11/2012","PM2.5","63","8","1","31","37","21","63"
"02/12/2012","PM2.5","58","7","1","27","39","15","58"
"02/13/2012","PM2.5","48","8","1","35","39","21","48"
"02/14/2012","PM2.5","55","13","4","42","41","23","55"
"02/15/2012","PM2.5","53","13","3","45","32","19","53"
"02/16/2012","PM2.5","57","17","3","54","42","19","57"
"02/17/2012","NO2","48","19","6","48","40","20","46"
"02/18/2012","PM2.5","63","17","1","35","40","22","63"
"02/19/2012","PM2.5","67","13","3","30","42","23","67"
"02/20/2012","PM2.5","68","10","1","36","40","29","68"
"02/21/2012","PM2.5","65","17","4","49","41","32","65"
"02/22/2012","PM2.5","63","20","14","58","39","27","63"
"02/23/2012","PM2.5","68","20","30","55","41","28","68"
"02/24/2012","PM2.5","120","16","7","66","47","33","120"
"02/25/2012","PM2.5","97","9","3","35","48","44","97"
"02/26/2012","PM2.5","96","8","1","35","61","34","96"
"02/27/2012","PM2.5","54","6","0","27","43","20","54"
"02/28/2012","PM2.5","51","10","1","43","39","20","51"
"02/29/2012","PM2.5","59","14","1","41","42","19","59"
"03/01/2012","PM2.5","54","8","1","33","42","18","54"
"03/02/2012","PM2.5","54","16","4","49","45","34","54"
"03/03/2012","NO2","50","27","4","50","45","29","40"
"03/04/2012","NO2","58","16","4","58","47","23","41"
"03/05/2012","PM2.5","58","26","6","54","39","26","58"
"03/06/2012","PM2.5","64","13","0","42","43","50","64"
"03/07/2012","Ozone","46","6","3","41","46","26","28"
"03/08/2012","NO2","57","15","7","57","47","33","49"
"03/09/2012","NO2","63","15","4","63","51","31","47"
"03/10/2012","Ozone","74","18","3","55","74","32","60"
"03/11/2012","Ozone","64","6","1","32","64","28","63"
"03/12/2012","PM2.5","65","7","1","43","51","30","65"
"03/13/2012","PM2.5","71","7","1","34","44","27","71"
"03/14/2012","PM2.5","66","9","4","33","46","23","66"
"03/15/2012","PM2.5","70","7","3","36","44","29","70"
"03/16/2012","PM2.5","74","7","1","29","37","28","74"
"03/17/2012","Ozone","44","7","0","17","44","6","27"
"03/18/2012","Ozone","43","6","0","22","43","11","28"
"03/19/2012","Ozone","49","8","1","40","49","16","46"
"03/20/2012","PM2.5","67","14","6","48","51","24","67"
"03/21/2012","PM2.5","72","19","7","61","50","26","72"
"03/22/2012","PM2.5","86","13","4","47","51","39","86"
"03/23/2012","PM2.5","77","7","7","36","40","26","77"
"03/24/2012","PM2.5","62","7","1","31","40","19","62"
"03/25/2012","Ozone","46","6","1","27","46","9","40"
"03/26/2012","Ozone","49","6","4","41","49","6","33"
"03/27/2012","PM2.5","54","13","3","38","49","15","54"
"03/28/2012","PM10","58","11","4","37","44","58","49"
"03/29/2012","PM2.5","89","7","1","30","49","51","89"
"03/30/2012","PM2.5","123","8","3","40","67","51","123"
"03/31/2012","PM2.5","70","8","1","32","47","27","70"
"04/01/2012","PM10","66","6","0","31","47","66","35"
"04/02/2012","Ozone","50","11","3","46","50","16","35"
"04/03/2012","Ozone","67","13","4","52","67","51","57"
"04/04/2012","PM2.5","63","10","4","45","61","31","63"
"04/05/2012","PM2.5","62","9","1","37","50","32","62"
"04/06/2012","Ozone","61","10","1","53","61","33","51"
"04/07/2012","Ozone","93","13","1","54","93","27","53"
"04/08/2012","Ozone","133","16","6","45","133","30","63"
"04/09/2012","Ozone","90","15","1","57","90","37","67"
"04/10/2012","PM2.5","62","8","3","38","58","27","62"
"04/11/2012","Ozone","45","3","0","25","45","8","24"
"04/12/2012","Ozone","46","8","3","31","46","13","32"
"04/13/2012","Ozone","49","5","0","27","49","12","34"
"04/14/2012","Ozone","47","7","0","31","47","19","43"
"04/15/2012","Ozone","58","9","1","28","58","25","55"
"04/16/2012","Ozone","90","11","1","50","90","32","58"
"04/17/2012","Ozone","77","11","31","60","77","32","55"
"04/18/2012","Ozone","77","10","3","47","77","30","66"
"04/19/2012","PM2.5","80","9","4","35","71","40","80"
"04/20/2012","PM2.5","106","10","3","53","90","40","106"
"04/21/2012","Ozone","179","9","7","34","179","51","136"
"04/22/2012","Ozone","151","6","0","22","151","39","105"
"04/23/2012","Ozone","74","6","0","28","74","18","59"
"04/24/2012","PM2.5","57","6","1","33","41","19","57"
"04/25/2012","PM2.5","54","8","3","39","40","24","54"
"04/26/2012","Ozone","41","5","0","21","41","9","35"
"04/27/2012","Ozone","58","6","6","39","58","22","51"
"04/28/2012","Ozone","101","9","6","39","101","28","64"
"04/29/2012","Ozone","108","6","1","24","108","31","70"
"04/30/2012","Ozone","101","8","1","38","101","38","79"
"05/01/2012","PM2.5","66","8","13","26","54","22","66"
"05/02/2012","Ozone","64","5","16","25","64","18","52"
"05/03/2012","Ozone","71","5","3","30","71","24","61"
"05/04/2012","PM2.5","70","6","1","36","51","30","70"
"05/05/2012","Ozone","97","8","1","36","97","32","70"
"05/06/2012","Ozone","101","6","1","31","101","37","75"
"05/07/2012","Ozone","90","7","1","33","90","44","82"
"05/08/2012","Ozone","97","8","1","42","97","44","83"
"05/09/2012","Ozone","119","13","3","44","119","55","83"
"05/10/2012","Ozone","151","6","1","25","151","47","88"
"05/11/2012","Ozone","126","6","1","21","126","44","79"
"05/12/2012","Ozone","159","6","1","20","159","47","83"
"05/13/2012","Ozone","140","6","0","27","140","40","82"
"05/14/2012","Ozone","112","8","3","30","112","35","66"
"05/15/2012","Ozone","84","6","7","41","84","46","64"
"05/16/2012","Ozone","156","8","3","44","156","44","74"
"05/17/2012","Ozone","154","7","1","36","154","36","79"
"05/18/2012","Ozone","87","5","6","34","87","36","68"
"05/19/2012","Ozone","150","6","0","33","150","42","79"
"05/20/2012","Ozone","187","7","1","27","187","44","85"
"05/21/2012","Ozone","172","10","3","42","172","63","90"
"05/22/2012","Ozone","126","8","3","35","126","46","75"
"05/23/2012","Ozone","93","6","1","25","93","46","67"
"05/24/2012","Ozone","101","5","1","22","101","43","65"
"05/25/2012","Ozone","71","5","0","20","71","26","50"
"05/26/2012","Ozone","48","5","1","20","48","22","35"
"05/27/2012","Ozone","67","6","1","31","67","22","55"
"05/28/2012","Ozone","122","8","1","29","122","24","60"
"05/29/2012","Ozone","119","7","3","33","119","31","68"
"05/30/2012","Ozone","100","7","3","35","100","38","70"
"05/31/2012","Ozone","164","8","3","36","164","49","100"
"06/01/2012","Ozone","156","6","1","35","156","48","114"
"06/02/2012","Ozone","129","6","3","22","129","38","99"
"06/03/2012","Ozone","115","3","1","12","115","27","73"
"06/04/2012","PM2.5","68","5","1","15","58","28","68"
"06/05/2012","Ozone","54","5","3","30","54","31","53"
"06/06/2012","Ozone","77","9","3","35","77","38","69"
"06/07/2012","Ozone","122","7","3","39","122","44","79"
"06/08/2012","Ozone","143","5","3","35","143","60","66"
"06/09/2012","Ozone","126","5","1","18","126","41","88"
"06/10/2012","Ozone","133","5","1","13","133","37","82"
"06/11/2012","Ozone","122","6","6","38","122","44","87"
"06/12/2012","Ozone","151","6","1","39","151","44","85"
"06/13/2012","Ozone","154","8","1","30","154","46","86"
"06/14/2012","Ozone","115","6","1","25","115","34","81"
"06/15/2012","Ozone","112","5","1","18","112","28","82"
"06/16/2012","Ozone","133","5","1","26","133","33","91"
"06/17/2012","Ozone","161","5","1","24","161","31","80"
"06/18/2012","PM2.5","99","6","1","25","97","36","99"
"06/19/2012","Ozone","108","5","1","23","108","33","71"
"06/20/2012","Ozone","143","5","1","25","143","43","90"
"06/21/2012","Ozone","147","6","1","40","147","46","92"
"06/22/2012","Ozone","93","5","4","29","93","44","86"
"06/23/2012","Ozone","80","5","1","26","80","31","56"
"06/24/2012","Ozone","87","6","1","25","87","21","56"
"06/25/2012","Ozone","71","10","1","33","71","24","45"
"06/26/2012","Ozone","100","7","4","42","100","55","49"
"06/27/2012","Ozone","101","9","6","39","101","31","64"
"06/28/2012","Ozone","126","7","6","37","126","36","63"
"06/29/2012","Ozone","129","8","7","36","129","34","71"
"06/30/2012","Ozone","133","5","6","25","133","29","53"
"07/01/2012","Ozone","119","5","3","22","119","30","63"
"07/02/2012","Ozone","122","5","9","26","122","35","61"
"07/03/2012","Ozone","112","6","7","29","112","36","71"
"07/04/2012","Ozone","105","5","0","15","105","43","101"
"07/05/2012","PM2.5","115","5","0","19","90","58","115"
"07/06/2012","Ozone","105","5","0","32","105","35","71"
"07/07/2012","Ozone","140","6","6","36","140","33","69"
"07/08/2012","Ozone","133","6","3","34","133","25","64"
"07/09/2012","Ozone","200","8","6","45","200","35","66"
"07/10/2012","Ozone","174","7","7","42","174","40","76"
"07/11/2012","Ozone","207","8","6","39","207","44","91"
"07/12/2012","PM2.5","91","10","7","63","90","59","91"
"07/13/2012","PM2.5","115","13","26","58","105","55","115"
"07/14/2012","Ozone","140","7","1","39","140","42","91"
"07/15/2012","Ozone","101","5","3","17","101","35","78"
"07/16/2012","Ozone","77","3","0","16","77","22","52"
"07/17/2012","PM2.5","79","3","0","23","61","23","79"
"07/18/2012","Ozone","51","7","1","46","51","25","48"
"07/19/2012","Ozone","105","9","1","51","105","31","58"
"07/20/2012","Ozone","97","7","1","29","97","41","65"
"07/21/2012","Ozone","156","6","13","27","156","39","81"
"07/22/2012","Ozone","151","5","1","21","151","39","77"
"07/23/2012","Ozone","112","6","0","29","112","38","75"
"07/24/2012","Ozone","84","7","1","28","84","37","79"
"07/25/2012","Ozone","108","5","1","27","108","37","75"
"07/26/2012","Ozone","101","5","3","26","101","36","74"
"07/27/2012","Ozone","101","5","3","33","101","33","75"
"07/28/2012","Ozone","147","6","4","33","147","28","66"
"07/29/2012","Ozone","169","7","4","32","169","32","69"
"07/30/2012","Ozone","143","6","1","35","143","44","78"
"07/31/2012","Ozone","174","9","1","37","174","42","81"
