"Date","Main Pollutant","Overall AQI Value","CO","SO2","NO2","Ozone","PM10","PM25"
"01/01/2016","PM2.5","96","9","6","42","40","38","96"
"01/02/2016","PM2.5","80","24","4","42","37","21","80"
"01/03/2016","PM2.5","92","34","3","41","40","23","92"
"01/04/2016","PM2.5","64","13","1","48","38","20","64"
"01/05/2016","PM2.5","53","13","3","40","40","13","53"
"01/06/2016","PM2.5","61","13","1","42","43","9","61"
"01/07/2016","PM2.5","57","10","3","45","41","14","57"
"01/08/2016","PM2.5","54","13","4","40","40","12","54"
"01/09/2016","PM2.5","75","24","1","35","33","17","75"
"01/10/2016","PM2.5","75","10","0","29","37","19","75"
"01/11/2016","PM2.5","72","20","1","53","37","13","72"
"01/12/2016","PM2.5","56","22","1","52","35","15","56"
"01/13/2016","PM2.5","62","28","4","58","36","41","62"
"01/14/2016","PM2.5","75","22","1","41","39","32","75"
"01/15/2016","PM2.5","71","18","1","35","41","31","71"
"01/16/2016","PM2.5","81","14","3","32","37","31","81"
"01/17/2016","PM2.5","100","22","3","37","35","31","100"
"01/18/2016","PM2.5","72","11","1","31","33","33","72"
"01/19/2016","PM2.5","65","14","0","38","27","25","65"
"01/20/2016","PM2.5","73","9","1","38","29","11","73"
"01/21/2016","PM2.5","54","15","3","45","33","14","54"
"01/22/2016","PM2.5","68","22","1","50","25","19","68"
"01/23/2016","PM2.5","66","16","1","38","39","24","66"
"01/24/2016","PM2.5","56","20","3","33","41","16","56"
"01/25/2016","NO2","53","20","1","53","39","40","52"
"01/26/2016","NO2","68","27","7","68","42","13","54"
"01/27/2016","NO2","62","22","4","62","33","19","52"
"01/28/2016","PM2.5","62","26","7","61","39","21","62"
"01/29/2016","PM2.5","72","28","6","52","37","32","72"
"01/30/2016","PM2.5","66","17","0","32","36","27","66"
"01/31/2016","Ozone","40","6","1","18","40","22","29"
"02/01/2016","NO2","47","10","0","47","38","10","23"
"02/02/2016","NO2","52","15","3","52","37","9","41"
"02/03/2016","NO2","56","15","4","56","38","19","45"
"02/04/2016","NO2","53","18","1","53","40","15","52"
"02/05/2016","NO2","66","26","1","66","42","14","51"
"02/06/2016","PM2.5","53","28","1","53","43","37","53"
"02/07/2016","PM2.5","56","30","4","55","48","13","56"
"02/08/2016","NO2","87","44","4","87","44","15","63"
"02/09/2016","NO2","62","24","3","62","40","17","43"
"02/10/2016","NO2","68","23","11","68","38","23","58"
"02/11/2016","NO2","77","33","14","77","41","22","69"
"02/12/2016","PM2.5","84","40","14","73","80","51","84"
"02/13/2016","PM2.5","113","19","3","64","77","33","113"
"02/14/2016","PM2.5","95","18","7","67","58","17","95"
"02/15/2016","NO2","80","36","13","80","49","22","68"
"02/16/2016","NO2","63","17","7","63","58","19","51"
"02/17/2016","PM2.5","55","14","3","49","40","25","55"
"02/18/2016","Ozone","44","8","1","39","44","24","37"
"02/19/2016","PM2.5","55","18","3","42","43","21","55"
"02/20/2016","PM2.5","60","19","4","36","45","24","60"
"02/21/2016","PM2.5","74","23","4","42","61","26","74"
"02/22/2016","PM2.5","69","18","7","60","50","19","69"
