"Date","Main Pollutant","Overall AQI Value","CO","SO2","NO2","Ozone","PM10","PM25"
"01/01/2014","PM2.5","161","34","9","73","37","57","161"
"01/02/2014","PM2.5","111","28","7","62","34","31","111"
"01/03/2014","PM2.5","84","20","6","67","23","33","84"
"01/04/2014","PM2.5","118","27","4","57","34","35","118"
"01/05/2014","PM2.5","97","25","6","57","41","46","97"
"01/06/2014","NO2","61","25","4","61","38","55","57"
"01/07/2014","PM2.5","64","25","4","56","29","38","64"
"01/08/2014","PM2.5","92","28","4","55","39","40","92"
"01/09/2014","PM2.5","122","20","1","47","40","44","122"
"01/10/2014","PM2.5","142","24","4","64","35","43","142"
"01/11/2014","PM2.5","114","23","10","70","35","43","114"
"01/12/2014","PM2.5","115","19","11","53","39","37","115"
"01/13/2014","PM2.5","85","30","4","68","40","28","85"
"01/14/2014","NO2","107","33","21","107","45","21","65"
"01/15/2014","NO2","85","39","11","85","43","33","69"
"01/16/2014","NO2","98","43","16","98","45","29","70"
"01/17/2014","PM2.5","94","39","6","72","40","71","94"
"01/18/2014","PM2.5","80","28","10","63","38","34","80"
"01/19/2014","PM2.5","95","35","11","57","35","29","95"
"01/20/2014","PM2.5","107","43","9","83","36","36","107"
"01/21/2014","PM2.5","92","32","10","85","35","40","92"
"01/22/2014","PM2.5","77","22","3","56","33","37","77"
"01/23/2014","PM2.5","96","20","3","68","37","53","96"
"01/24/2014","PM2.5","89","23","10","80","36","42","89"
"01/25/2014","PM2.5","72","17","6","61","42","26","72"
"01/26/2014","PM2.5","76","19","10","42","40","29","76"
"01/27/2014","PM2.5","75","16","4","41","44","35","75"
"01/28/2014","PM2.5","96","16","6","60","42","41","96"
"01/29/2014","PM2.5","125","18","6","74","48","59","125"
"01/30/2014","PM2.5","95","11","1","41","47","46","95"
"01/31/2014","PM2.5","50","6","1","34","39","17","50"
"02/01/2014","PM2.5","45","8","1","41","39","11","45"
"02/02/2014","PM2.5","51","15","1","39","37","14","51"
"02/03/2014","Ozone","41","11","1","40","41","13","33"
"02/04/2014","PM2.5","48","13","3","40","37","21","48"
"02/05/2014","PM2.5","55","13","3","45","44","23","55"
"02/06/2014","PM2.5","63","11","1","42","34","22","63"
"02/07/2014","PM2.5","62","10","1","31","37","11","62"
"02/08/2014","PM2.5","51","13","1","31","34","19","51"
"02/09/2014","PM2.5","58","9","1","36","33","20","58"
"02/10/2014","PM2.5","59","16","1","37","36","32","59"
"02/11/2014","PM2.5","67","15","6","57","33","23","67"
"02/12/2014","PM2.5","84","23","9","71","39","27","84"
"02/13/2014","PM2.5","72","22","7","61","37","37","72"
"02/14/2014","PM2.5","92","26","6","87","36","40","92"
"02/15/2014","PM2.5","116","25","11","68","43","37","116"
"02/16/2014","PM2.5","95","22","3","51","46","44","95"
"02/17/2014","PM2.5","78","17","3","47","41","30","78"
"02/18/2014","PM2.5","94","8","4","42","44","47","94"
"02/19/2014","PM2.5","87","11","3","42","44","49","87"
"02/20/2014","PM2.5","89","14","1","56","43","38","89"
"02/21/2014","PM2.5","69","24","1","63","61","37","69"
"02/22/2014","PM2.5","84","14","3","50","51","44","84"
"02/23/2014","PM2.5","117","15","4","47","100","31","117"
"02/24/2014","PM2.5","96","13","7","46","84","40","96"
"02/25/2014","PM2.5","91","8","4","39","44","36","91"
"02/26/2014","PM2.5","56","5","1","26","37","24","56"
"02/27/2014","PM2.5","41","8","1","25","38","11","41"
"02/28/2014","Ozone","41","11","0","30","41","11","36"
"03/01/2014","PM2.5","44","13","1","34","38","11","44"
"03/02/2014","PM2.5","61","11","1","36","37","10","61"
"03/03/2014","PM2.5","59","16","3","38","36","19","59"
"03/04/2014","PM2.5","72","15","0","34","38","29","72"
"03/05/2014","PM2.5","80","16","6","45","49","34","80"
"03/06/2014","PM2.5","79","15","3","37","40","33","79"
"03/07/2014","PM2.5","65","13","4","50","44","34","65"
"03/08/2014","PM2.5","61","27","13","61","49","21","61"
"03/09/2014","Ozone","61","14","6","42","61","13","40"
"03/10/2014","Ozone","58","22","13","49","58","22","47"
"03/11/2014","PM2.5","58","14","3","50","46","31","58"
"03/12/2014","PM2.5","59","11","1","42","50","30","59"
"03/13/2014","PM2.5","68","7","3","38","51","31","68"
"03/14/2014","PM2.5","74","14","3","42","47","31","74"
"03/15/2014","Ozone","87","10","4","45","87","28","66"
"03/16/2014","Ozone","87","20","11","47","87","21","65"
"03/17/2014","Ozone","67","13","3","45","67","38","63"
"03/18/2014","PM2.5","66","6","4","33","49","53","66"
"03/19/2014","PM2.5","71","11","7","42","50","33","71"
"03/20/2014","PM2.5","72","10","1","44","58","39","72"
"03/21/2014","PM2.5","71","7","4","35","64","39","71"
"03/22/2014","Ozone","74","7","1","29","74","32","63"
"03/23/2014","PM2.5","67","13","3","32","64","39","67"
"03/24/2014","PM2.5","86","7","3","35","61","48","86"
"03/25/2014","PM2.5","80","7","1","36","64","44","80"
"03/26/2014","Ozone","43","6","1","23","43","20","36"
"03/27/2014","PM2.5","51","8","1","33","44","22","51"
"03/28/2014","PM2.5","63","7","4","36","47","31","63"
"03/29/2014","Ozone","64","14","11","39","64","32","63"
"03/30/2014","Ozone","48","5","3","25","48","19","34"
"03/31/2014","PM10","53","8","3","31","46","53","45"
"04/01/2014","Ozone","47","5","6","26","47","16","31"
"04/02/2014","Ozone","46","6","1","34","46","13","36"
