"Date","Main Pollutant","Overall AQI Value","CO","SO2","NO2","Ozone","PM10","PM25"
"01/01/2008","PM2.5","137","15","14","40","41","31","137"
"01/02/2008","PM2.5","54","40","24","52","35","32","54"
"01/03/2008","PM2.5","60","47","7","57","25","34","60"
"01/04/2008","PM2.5","56","10","3","42","32","25","56"
"01/05/2008","PM2.5","52","13","6","42","36","16","52"
"01/06/2008","Ozone","36","9","3","29","36","14","35"
"01/07/2008","PM2.5","45","20","3","39","33","23","45"
"01/08/2008","PM2.5","91","25","7","45","24","24","91"
"01/09/2008","PM2.5","100","28","4","38","32","30","100"
"01/10/2008","PM2.5","126","25","16","61","31","39","126"
"01/11/2008","PM2.5","127","47","14","82","35","42","127"
"01/12/2008","PM2.5","109","38","13","67","40","36","109"
"01/13/2008","PM2.5","74","39","10","53","40","37","74"
"01/14/2008","NO2","81","44","10","81","38","31","66"
"01/15/2008","PM2.5","73","36","11","66","36","56","73"
"01/16/2008","PM2.5","105","23","6","51","43","37","105"
"01/17/2008","NO2","55","20","7","55","38","35","54"
"01/18/2008","PM2.5","66","34","7","57","40","32","66"
"01/19/2008","PM2.5","69","30","9","55","36","36","69"
"01/20/2008","PM2.5","71","36","11","43","39","27","71"
"01/21/2008","PM2.5","46","10","14","46","37","15","46"
"01/22/2008","PM2.5","59","11","3","41","31","18","59"
"01/23/2008","PM2.5","60","16","14","56","32","10","60"
"01/24/2008","PM2.5","44","9","9","36","33","7","44"
"01/25/2008","PM2.5","57","10","10","38","34","17","57"
"01/26/2008","PM2.5","55","18","6","37","33","12","55"
"01/27/2008","Ozone","44","6","4","36","44","13","38"
"01/28/2008","NO2","40","8","3","40","37","12","38"
"01/29/2008","PM2.5","58","16","4","42","33","22","58"
"01/30/2008","PM2.5","59","23","6","43","37","20","59"
"01/31/2008","NO2","58","16","10","58","34","31","56"
"02/01/2008","PM2.5","65","27","9","49","31","30","65"
"02/02/2008","PM2.5","60","20","7","40","33","22","60"
"02/03/2008","PM2.5","42","17","3","38","38","18","42"
"02/04/2008","NO2","40","13","4","40","35","11","24"
