"Date","Main Pollutant","Overall AQI Value","CO","SO2","NO2","Ozone","PM10","PM25"
"01/01/2010","PM2.5","82","17","20","41","36","20","82"
"01/02/2010","PM2.5","82","30","11","57","36","41","82"
"01/03/2010","PM2.5","56","28","13","49","33","17","56"
"01/04/2010","NO2","56","27","13","56","31","25","47"
"01/05/2010","NO2","58","30","10","58","31","31","55"
"01/06/2010","PM2.5","73","36","10","67","31","33","73"
"01/07/2010","PM2.5","98","39","17","81","28","61","98"
"01/08/2010","PM2.5","90","35","9","82","27","49","90"
"01/09/2010","NO2","58","24","6","58","31","28","48"
"01/10/2010","PM2.5","64","23","26","56","30","29","64"
"01/11/2010","PM2.5","74","28","16","73","28","43","74"
"01/12/2010","PM2.5","85","26","13","70","32","52","85"
"01/13/2010","PM2.5","67","19","4","41","42","24","67"
"01/14/2010","NO2","65","18","9","65","40","40","63"
"01/15/2010","PM2.5","56","22","4","56","33","39","56"
"01/16/2010","PM2.5","64","28","13","54","30","35","64"
"01/17/2010","PM2.5","67","15","4","36","38","27","67"
"01/18/2010","PM2.5","86","9","3","41","38","25","86"
"01/19/2010","PM2.5","56","16","3","42","33","19","56"
"01/20/2010","PM2.5","58","22","4","38","35","23","58"
"01/21/2010","Ozone","41","7","3","36","41","15","38"
"01/22/2010","NO2","46","11","1","46","39","11","36"
"01/23/2010","PM2.5","72","19","3","41","41","27","72"
"01/24/2010","PM2.5","71","23","7","37","37","33","71"
"01/25/2010","PM2.5","67","24","7","48","34","36","67"
"01/26/2010","PM2.5","80","23","6","52","30","27","80"
"01/27/2010","PM2.5","52","15","4","47","35","23","52"
"01/28/2010","PM2.5","56","22","4","53","35","28","56"
"01/29/2010","PM2.5","71","20","9","49","31","32","71"
"01/30/2010","PM2.5","82","30","10","44","39","32","82"
"01/31/2010","PM2.5","89","18","9","43","39","35","89"
"02/01/2010","PM2.5","93","20","56","76","35","40","93"
"02/02/2010","PM2.5","114","17","4","54","33","39","114"
"02/03/2010","PM2.5","83","19","9","52","41","36","83"
"02/04/2010","PM2.5","65","8","4","41","36","25","65"
"02/05/2010","PM2.5","52","8","1","39","31","17","52"
"02/06/2010","Ozone","39","7","4","32","39","12","30"
"02/07/2010","PM2.5","51","24","6","33","40","19","51"
"02/08/2010","PM2.5","51","14","3","43","36","29","51"
"02/09/2010","PM2.5","55","18","4","42","33","22","55"
"02/10/2010","PM2.5","55","18","9","46","37","27","55"
"02/11/2010","PM2.5","62","17","7","44","35","29","62"
"02/12/2010","PM2.5","80","15","4","56","41","34","80"
"02/13/2010","NO2","97","24","4","97","39","36","73"
"02/14/2010","PM2.5","60","33","9","51","45","31","60"
"02/15/2010","NO2","64","25","9","64","44","35","55"
"02/16/2010","NO2","68","25","11","68","42","43","58"
"02/17/2010","PM2.5","71","32","4","69","39","42","71"
"02/18/2010","PM2.5","123","13","7","56","49","45","123"
"02/19/2010","PM2.5","69","8","4","35","45","35","69"
"02/20/2010","Ozone","40","6","4","34","40","19","33"
"02/21/2010","Ozone","40","5","3","25","40","20","36"
"02/22/2010","NO2","49","8","7","49","44","19","23"
"02/23/2010","NO2","60","15","7","60","39","31","46"
"02/24/2010","PM2.5","60","17","7","50","40","31","60"
"02/25/2010","PM2.5","62","8","6","42","42","23","62"
"02/26/2010","PM2.5","64","17","9","47","34","28","64"
"02/27/2010","PM2.5","43","8","6","32","42","17","43"
"02/28/2010","PM2.5","43","10","6","34","43","24","43"
"03/01/2010","PM2.5","62","13","4","41","39","29","62"
"03/02/2010","PM2.5","43","9","3","37","40","24","43"
"03/03/2010","Ozone","43","8","4","32","43","18","35"
"03/04/2010","NO2","71","9","3","71","45","17","23"
"03/05/2010","NO2","51","11","6","51","46","29","43"
"03/06/2010","Ozone","43","9","0","39","43","8","39"
"03/07/2010","Ozone","44","7","4","36","44","18","25"
"03/08/2010","PM2.5","56","8","3","33","41","32","56"
"03/09/2010","PM2.5","59","6","3","49","40","17","59"
"03/10/2010","NO2","55","8","3","55","45","19","46"
"03/11/2010","NO2","52","13","6","52","46","28","51"
"03/12/2010","NO2","56","22","7","56","44","34","55"
"03/13/2010","PM2.5","61","10","3","39","43","30","61"
"03/14/2010","PM2.5","54","11","4","45","50","31","54"
"03/15/2010","NO2","65","23","6","65","51","31","51"
"03/16/2010","NO2","62","14","3","62","58","41","42"
"03/17/2010","Ozone","67","16","4","66","67","35","42"
"03/18/2010","Ozone","74","13","7","54","74","43","72"
"03/19/2010","PM2.5","78","10","7","58","49","47","78"
"03/20/2010","PM2.5","84","10","4","62","84","47","84"
"03/21/2010","Ozone","93","15","10","68","93","44","80"
"03/22/2010","PM2.5","74","14","6","52","61","43","74"
"03/23/2010","PM2.5","67","8","4","52","50","39","67"
"03/24/2010","PM2.5","77","10","7","42","67","47","77"
"03/25/2010","PM2.5","71","7","4","38","46","34","71"
"03/26/2010","PM2.5","57","9","3","47","47","32","57"
"03/27/2010","PM10","61","11","7","57","58","61","51"
"03/28/2010","Ozone","84","13","4","46","84","31","31"
"03/29/2010","Ozone","84","20","7","58","84","38","51"
"03/30/2010","PM2.5","55","6","3","32","41","32","55"
"03/31/2010","Ozone","46","5","3","34","46","41","40"
"04/01/2010","Ozone","48","6","3","40","48","22","26"
"04/02/2010","PM2.5","123","8","3","39","50","31","123"
"04/03/2010","Ozone","58","8","3","39","58","32","56"
"04/04/2010","Ozone","61","8","3","36","61","32","52"
"04/05/2010","Ozone","46","5","3","35","46","19","31"
"04/06/2010","NO2","53","9","3","53","51","29","38"
"04/07/2010","NO2","57","19","14","57","54","30","43"
"04/08/2010","NO2","63","13","11","63","54","32","43"
"04/09/2010","PM2.5","69","11","27","45","61","44","69"
"04/10/2010","Ozone","74","7","6","35","74","44","67"
"04/11/2010","PM2.5","65","7","1","29","58","38","65"
"04/12/2010","PM2.5","57","9","3","39","54","26","57"
"04/13/2010","PM2.5","62","13","4","42","58","31","62"
"04/14/2010","Ozone","74","16","4","37","74","31","58"
"04/15/2010","Ozone","97","17","13","42","97","34","59"
"04/16/2010","Ozone","93","11","3","40","93","31","61"
"04/17/2010","Ozone","108","14","7","43","108","35","70"
"04/18/2010","Ozone","143","14","7","40","143","37","73"
"04/19/2010","Ozone","71","11","4","38","71","35","70"
"04/20/2010","PM2.5","48","10","3","35","44","33","48"
"04/21/2010","Ozone","43","8","1","34","43","22","24"
"04/22/2010","Ozone","43","11","3","41","43","19","37"
"04/23/2010","PM2.5","68","17","7","38","48","29","68"
"04/24/2010","PM2.5","67","10","3","42","54","31","67"
"04/25/2010","Ozone","126","11","6","35","126","37","78"
"04/26/2010","Ozone","115","13","6","45","115","51","96"
"04/27/2010","PM2.5","99","13","4","35","80","35","99"
"04/28/2010","PM2.5","47","11","4","30","47","22","47"
"04/29/2010","Ozone","47","11","7","39","47","25","27"
"04/30/2010","NO2","56","13","6","56","45","29","28"
"05/01/2010","Ozone","54","11","4","33","54","39","51"
"05/02/2010","Ozone","93","9","4","37","93","37","59"
"05/03/2010","Ozone","115","14","9","91","115","42","64"
"05/04/2010","Ozone","84","13","10","46","84","42","72"
